species,name_change,Split_species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,New_Data_Notes,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Abeillia abeillei,0,,Abeillia abeillei,Caprimulgiformes,LC,No,Volant,2.7,66.3,Forest,Herbivore,Nectarivore,15.29,,13,9.5,1.2,1.7,6.3,47,30.5,15.5,29.4,Not threatened
Abroscopus albogularis,0,,Abroscopus albogularis,Passeriformes,LC,No,Volant,4.8,13.3,Forest,Carnivore,Invertivore,24.78,,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,38.7,Not threatened
Abroscopus schisticeps,0,,Abroscopus schisticeps,Passeriformes,LC,No,Volant,4.7,16.1,Forest,Carnivore,Invertivore,26.7,,9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,47.5,Not threatened
Abroscopus superciliaris,0,,Abroscopus superciliaris,Passeriformes,LC,No,Volant,6.5,12.7,Shrubland,Carnivore,Invertivore,9.89,,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,42.4,Not threatened
Aburria aburri,0,,Aburria aburri,Galliformes,NT,No,Volant,1405.1,15.7,Forest,Herbivore,Frugivore,-2.79,,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,290.4,Not threatened
Acanthagenys rufogularis,0,,Acanthagenys rufogularis,Passeriformes,LC,No,Volant,47.8,23.2,Shrubland,Omnivore,Omnivore,-27.1,,25.7,11.3,3.7,5,25.1,111.1,25,82.8,111.4,Not threatened
Acanthidops bairdi,0,,Acanthidops bairdi,Passeriformes,LC,No,Volant,16,17,Forest,Omnivore,Invertivore,9.56,,16.2,10.8,3.9,5.3,20.9,66,11.3,54.7,52.1,Not threatened
Acanthis flammea,0,,Acanthis flammea,Passeriformes,LC,No,Volant,13,33.1,Forest,Herbivore,Granivore,64.52,,11.4,7.8,4.5,6.5,15.6,75.8,25,50.7,58.7,Not threatened
Acanthisitta chloris,0,,Acanthisitta chloris,Passeriformes,LC,Yes,Volant,6.9,13.9,Forest,Carnivore,Invertivore,-42.25,,12.1,6.3,2.4,2.2,18,46,6.2,38.1,23.5,Not threatened
Acanthiza apicalis,0,,Acanthiza apicalis,Passeriformes,LC,No,Volant,7.6,14.2,Woodland,Carnivore,Invertivore,-27.63,,11,5.9,2.2,2.6,19,51,7.2,43.2,44.1,Not threatened
Acanthiza chrysorrhoa,0,,Acanthiza chrysorrhoa,Passeriformes,LC,No,Volant,9.3,15.6,Woodland,Carnivore,Invertivore,-28.8,,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,37.9,Not threatened
Acanthiza cinerea,0,,Acanthiza cinerea,Passeriformes,LC,No,Volant,7.6,19.2,Forest,Carnivore,Invertivore,-5.22,,10.6,6,2.6,2.8,19.2,52,10.1,42.2,32.4,Not threatened
Acanthiza ewingii,0,,Acanthiza ewingii,Passeriformes,LC,No,Volant,6.9,16.3,Forest,Carnivore,Invertivore,-41.94,,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,46.4,Not threatened
Acanthiza inornata,0,,Acanthiza inornata,Passeriformes,LC,No,Volant,7,12.8,Woodland,Carnivore,Invertivore,-32.67,,11.3,5.9,2.3,2.7,17.3,47.8,6,41,36.4,Not threatened
Acanthiza iredalei,0,,Acanthiza iredalei,Passeriformes,LC,No,Volant,6,15.3,Shrubland,Carnivore,Invertivore,-31.22,,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,39.3,Not threatened
Acanthiza katherina,0,,Acanthiza katherina,Passeriformes,LC,No,Volant,7.2,17.6,Forest,Carnivore,Invertivore,-17.76,,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,41.1,Not threatened
Acanthiza lineata,0,,Acanthiza lineata,Passeriformes,LC,No,Volant,6.9,19.1,Forest,Omnivore,Invertivore,-32.16,,9.9,5,2.1,2.8,17.1,51.5,9.4,40,37.9,Not threatened
Acanthiza murina,0,,Acanthiza murina,Passeriformes,LC,No,Volant,8.4,22.5,Forest,Carnivore,Invertivore,-5.39,,11.4,6,2.4,2.9,17.9,57.1,12.7,44,35,Not threatened
Acanthiza nana,0,,Acanthiza nana,Passeriformes,LC,No,Volant,6.2,17.8,Shrubland,Carnivore,Invertivore,-29.95,,10,5.2,2.1,2.7,17.2,49.1,8.8,40.8,36.8,Not threatened
Acanthiza pusilla,0,,Acanthiza pusilla,Passeriformes,LC,No,Volant,7.6,14.6,Shrubland,Carnivore,Invertivore,-32.24,,11.2,5.3,2.1,2.6,18.7,51.8,7.6,44.1,43.4,Not threatened
Acanthiza reguloides,0,,Acanthiza reguloides,Passeriformes,LC,No,Volant,7.7,14,Forest,Carnivore,Invertivore,-29.59,,11,6,2.2,2.6,16.7,52,7.3,44.7,38.9,Not threatened
Acanthiza robustirostris,0,,Acanthiza robustirostris,Passeriformes,LC,No,Volant,6.1,15.2,Woodland,Carnivore,Invertivore,-25.85,,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,40.2,Not threatened
Acanthiza uropygialis,0,,Acanthiza uropygialis,Passeriformes,LC,No,Volant,6.4,15,Woodland,Carnivore,Invertivore,-28.24,,10.2,5.3,2,2.3,18,51.8,7.9,44.6,38.3,Not threatened
Acanthoptila nipalensis,0,,Acanthoptila nipalensis,Passeriformes,LC,No,Volant,61,5.7,Shrubland,Carnivore,Invertivore,28.38,,23.6,14.2,4.5,6.3,29.7,82.2,4.7,77.8,112.6,Not threatened
Acanthorhynchus superciliosus,0,,Acanthorhynchus superciliosus,Passeriformes,LC,No,Volant,9.7,15.9,Shrubland,Herbivore,Nectarivore,-32.88,,23.6,15.5,2.3,2.8,19.9,61.3,9.5,50.1,54.3,Not threatened
