"IUCN_name","Frequency_month","Survey_interval_days","Road_length_km","Survey_period_days","Latitude","Longitude","Country","Roadkill_rate_ind_km_y","Roadkillrate_corrected","AdultBodyMass_g_median","Home_range_Km2","longevity_y","Ageofmaturity_d","SocialGrpSize","Diet_Invertebrates","Diet_Vertebrates.ectotherms","Diet_Scavenger","Diet_Seed","Diet_Plant","Activity_1Diurnal_2Nocturnal","Litter_clutch_size","Litters_or_clutches_per_y","Diet_breadth","Artificial","Cropland","Grassland","Forest","Sparse.vegetation","Water.bodies","Habitat_breadth","Population.density_IndKm2"
"Alouatta caraya",9.3,3.010752688,136,547,-14.157535,-47.59415,"Brazil",0.009812883,0.014297371,5.57696,0.0195,26.32916667,1215.19918,8.9,"0","0","0","0","60","Diurnal",1.005,1,2,"0","0","0","1","0","0",1,11.2
"Alouatta caraya",4,7,70,214,-20.187971,-54.806624,"Brazil",0.024365821,0.035501001,5.57696,0.0195,26.32916667,1215.19918,8.9,"0","0","0","0","60","Diurnal",1.005,1,2,"0","0","0","1","0","0",1,11.2
"Alouatta caraya",4,7,90,610,-25.54553,-48.78396,"Brazil",0.006648452,0.009686795,5.57696,0.0195,26.32916667,1215.19918,8.9,"0","0","0","0","60","Diurnal",1.005,1,2,"0","0","0","1","0","0",1,11.2
"Alouatta caraya",4,7,115,365,-11.904988,-48.737133,"Brazil",0.008695652,0.012669565,5.57696,0.0195,26.32916667,1215.19918,8.9,"0","0","0","0","60","Diurnal",1.005,1,2,"0","0","0","1","0","0",1,11.2
"Alouatta guariba",8,3.5,29,365,-30.117957,-53.619222,"Brazil",0.034482759,0.05024138,5.18833,0.03,13.80833333,766.567175477778,7.4,"0","0","0","0","60","Diurnal",1.39114833333333,1.1676130952381,2,"0","0","0","1","0","0",1,10.5
"Alouatta guariba",672,0.041666667,412,303,-26.07434,-49.744804,"Brazil",0.002923836,0.002923836,5.18833,0.03,13.80833333,766.567175477778,7.4,"0","0","0","0","60","Diurnal",1.39114833333333,1.1676130952381,2,"0","0","0","1","0","0",1,10.5
"Alouatta guariba",672,0.041666667,366,1461,-24.866723,-50.445759,"Brazil",0.002047778,0.002047778,5.18833,0.03,13.80833333,766.567175477778,7.4,"0","0","0","0","60","Diurnal",1.39114833333333,1.1676130952381,2,"0","0","0","1","0","0",1,10.5
"Alouatta guariba",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.005390626,0.006447189,5.18833,0.03,13.80833333,766.567175477778,7.4,"0","0","0","0","60","Diurnal",1.39114833333333,1.1676130952381,2,"0","0","0","1","0","0",1,10.5
"Alouatta guariba",4,7,45,366,-30.347781,-53.998679,"Brazil",0.022161506,0.032289314,5.18833,0.03,13.80833333,766.567175477778,7.4,"0","0","0","0","60","Diurnal",1.39114833333333,1.1676130952381,2,"0","0","0","1","0","0",1,10.5
"Alouatta seniculus",8,3.5,178.8,91,9.017987,-73.633823,"Colombia",0.044865649,0.065369251,6.39831,0.1,25,1672.76256,7.9,"0","0","0","0","60","Diurnal",1.2,0.815,2,"0","0","0","1","0","0",2,30
"Atelocynus microtis",20,1.4,36,183,-10.675567,-62.208069,"Brazil",0.110807529,0.132525805,8.36322,3.7557624,11,1095,1,"0","0","0","0","20","Nocturnal",2,1.28220833333333,2,"0","0","0","1","0","0",1,26.4155583571428
"Bradypus variegatus",8,3.5,38.92,92,9.245341,-79.64701,"Panama",0.407748335,0.594089324,4.13636,0.01,3.241666667,1138.91512,1,"0","0","0","0","100","Nocturnal",1,1.05,1,"0","0","0","1","0","0",1,650
"Bradypus variegatus",28,1,180.4,1126,-22.307184,-43.130266,"Brazil",0.025156254,0.03008688,4.13636,0.01,3.241666667,1138.91512,1,"0","0","0","0","100","Nocturnal",1,1.05,1,"0","0","0","1","0","0",1,650
"Cabassous tatouay",56,0.5,34,1461,-25.753,-54.54,"Argentina",0.124914442,0.124914442,5.34995,3.64327093333333,9.15181944469916,465.052771907937,1.399,"100","0","0","0","0","Nocturnal",2.8489125,1.38492083333333,1,"1","0","1","1","0","0",3,41.7719359444444
"Cabassous unicinctus",4,7,70,214,-20.187971,-54.806624,"Brazil",0.024365821,0.035501001,3.98797,1.016,7.483333333,418.416622563889,1,"100","0","0","0","0","Nocturnal",1,1.28558333333333,1,"0","0","1","1","1","0",5,34.013613968254
"Cabassous unicinctus",56,0.5,12,140,-21.98528,-47.871842,"Brazil",0.217261905,0.217261905,3.98797,1.016,7.483333333,418.416622563889,1,"100","0","0","0","0","Nocturnal",1,1.28558333333333,1,"0","0","1","1","1","0",5,34.013613968254
